PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,service_id
Yes,Yes,DSL,Yes,No,No,No,No,No,93
Yes,No,DSL,No,Yes,Yes,No,No,Yes,94
Yes,Yes,DSL,No,Yes,No,No,No,Unknown,95
Yes,No,No,No,No,No,No,No,No,96
Yes,No,DSL,No,No,No,Yes,No,No,97
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,98
Yes,No,No,No,No,No,No,No,No,99
Yes,No,No,No,No,No,No,No,No,100
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,101
Yes,Yes,Fiber optic,No,No,No,No,No,Unknown,102
Yes,Yes,Fiber optic,No,No,No,No,No,No,103
Yes,Yes,No,No,No,No,No,No,No,104
Yes,No,DSL,No,No,No,No,No,No,105
Yes,No,No,No,No,No,No,No,No,106
Yes,Yes,Fiber optic,No,No,No,No,No,No,107
Yes,No,Fiber optic,No,Yes,No,No,No,No,108
Yes,Yes,DSL,No,No,No,No,No,No,109
No,No,Fiber optic,Yes,No,Yes,No,No,No,110
Yes,Yes,Fiber optic,No,Unknown,No,No,No,No,111
Yes,Yes,Fiber optic,No,No,No,No,No,No,112
No,No,Fiber optic,No,No,No,Unknown,No,No,113
No,No,Fiber optic,No,No,Yes,No,No,Yes,114
Yes,Yes,Fiber optic,No,No,No,Unknown,No,No,115
Yes,No,Fiber optic,No,Yes,No,Unknown,No,No,116
No,No,Fiber optic,Unknown,No,No,No,Yes,No,117
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,118
Yes,Yes,Fiber optic,No,No,No,No,No,No,119
Yes,Yes,No,No,No,No,No,No,No,120
Yes,No,DSL,No,No,Yes,No,Unknown,No,121
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,122
Yes,No,DSL,No,No,No,No,Yes,Yes,123
Yes,Yes,DSL,No,No,No,Yes,No,Yes,124
Yes,Yes,Fiber optic,No,No,No,No,No,No,125
Yes,No,Fiber optic,No,No,No,No,No,No,126
Yes,No,Fiber optic,No,No,No,No,No,No,127
Yes,Yes,DSL,Unknown,No,No,No,No,No,128
Yes,Yes,DSL,No,No,No,Yes,No,No,129
Yes,No,Fiber optic,No,No,No,No,No,Unknown,130
Yes,No,Fiber optic,Yes,No,No,No,No,No,131
Yes,No,DSL,No,No,No,No,No,No,132
Yes,No,No,No,No,No,No,No,No,133
Yes,No,Fiber optic,No,No,Yes,No,No,Yes,134
Yes,No,Fiber optic,No,No,No,No,No,No,135
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,136
Yes,Yes,Fiber optic,Yes,No,Unknown,No,No,No,137
Yes,No,Fiber optic,No,No,No,No,No,No,138
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,139
Yes,Yes,Fiber optic,No,No,Yes,Unknown,No,Unknown,140
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,141
Yes,No,Fiber optic,Yes,Yes,No,No,No,No,142
Yes,Yes,No,No,No,No,No,No,No,143
Yes,No,Fiber optic,No,No,Yes,No,No,Unknown,144
Yes,Yes,Fiber optic,No,Unknown,No,No,No,No,145
No,No,Fiber optic,No,No,No,No,No,No,146
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,147
No,No,Fiber optic,No,No,No,No,No,No,148
Yes,Unknown,Fiber optic,No,No,No,Yes,Unknown,No,149
Yes,No,DSL,No,Yes,No,No,No,No,150
Yes,Yes,No,No,No,No,No,No,No,151
Yes,Yes,Fiber optic,No,No,No,No,No,No,152
Yes,Yes,DSL,No,Yes,No,No,No,No,153
Yes,Yes,Fiber optic,No,Unknown,No,No,Yes,No,154
Yes,Yes,Fiber optic,Unknown,No,No,Yes,No,No,155
Yes,No,Fiber optic,No,No,No,No,Unknown,No,156
No,No,DSL,No,Yes,No,No,No,No,157
Yes,Yes,DSL,No,Unknown,No,No,No,No,158
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,159
Yes,No,DSL,No,No,No,Yes,Unknown,Yes,160
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,161
Yes,No,DSL,No,Unknown,Yes,No,Yes,No,162
Yes,No,No,No,No,No,No,No,No,163
Yes,Yes,Fiber optic,No,No,No,No,No,No,164
Yes,Yes,No,No,No,No,No,No,No,165
Yes,Yes,No,No,No,No,No,No,No,166
Yes,No,Fiber optic,No,Yes,No,No,No,Yes,167
Yes,No,Fiber optic,No,No,Unknown,Yes,Yes,Yes,168
Yes,No,Fiber optic,No,No,No,No,No,No,169
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,170
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,171
Yes,No,DSL,No,No,No,No,No,No,172
Yes,No,No,No,No,No,No,No,No,173
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,174
Yes,No,DSL,No,No,No,No,Yes,Yes,175
Yes,Yes,DSL,Yes,No,No,No,No,Yes,176
Yes,No,DSL,Yes,No,No,No,Yes,No,177
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,178
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,179
Yes,No,Fiber optic,No,No,No,Yes,No,No,180
Yes,Yes,Fiber optic,No,No,No,No,No,No,181
Yes,No,Fiber optic,No,No,No,No,No,Yes,182
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,183
Yes,No,Fiber optic,Yes,Yes,No,Unknown,Yes,No,184
Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,185
Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Unknown,186
Yes,Yes,No,No,No,No,No,No,No,187
Yes,Yes,No,No,No,No,No,No,No,188
Yes,Yes,No,No,No,No,No,No,No,189
Yes,Yes,Fiber optic,No,No,No,No,No,No,190
No,No,DSL,No,Yes,No,Yes,No,No,191
Yes,Yes,Fiber optic,No,Unknown,No,Yes,No,Yes,192
Yes,No,Fiber optic,No,Yes,No,No,No,No,193
Yes,Yes,No,No,No,No,No,No,No,194
Yes,Yes,Fiber optic,No,Yes,No,No,Unknown,Yes,195
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,196
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,197
Yes,No,DSL,No,Yes,No,No,Yes,No,198
Yes,Yes,DSL,Yes,No,No,No,No,No,199
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,200
Yes,Unknown,Fiber optic,No,No,No,No,No,No,201
Yes,No,No,No,No,No,No,No,No,202
Yes,Yes,DSL,Yes,No,No,No,No,No,203
Yes,Yes,Fiber optic,No,No,No,No,No,No,204
No,Yes,DSL,Yes,No,No,No,No,No,205
Yes,Yes,Fiber optic,No,No,Unknown,No,No,Yes,206
Yes,No,Fiber optic,No,No,No,No,Yes,No,207
Yes,Yes,Fiber optic,Yes,No,No,Unknown,Yes,No,208
Yes,Yes,No,No,No,No,No,No,No,209
Yes,Yes,No,No,No,No,No,No,No,210
No,No,No,No,No,No,No,No,No,211
Yes,No,Fiber optic,No,No,No,Yes,No,No,212
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,213
Yes,Yes,No,No,No,No,No,No,No,214
Yes,Yes,No,No,No,No,No,No,No,215
Yes,Unknown,Fiber optic,No,No,No,No,No,Yes,216
Yes,No,No,No,No,No,No,No,No,217
No,No,No,No,No,No,No,No,No,218
Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,219
Yes,No,Fiber optic,Yes,No,No,No,No,Unknown,220
Yes,No,No,No,No,No,No,No,No,221
Yes,No,No,No,No,No,No,No,No,222
Yes,Yes,Fiber optic,No,No,No,No,No,No,223
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,224
Yes,Yes,Fiber optic,Yes,No,No,Unknown,No,No,225
Yes,No,Fiber optic,Unknown,Unknown,No,No,No,No,226
Yes,No,No,No,No,No,No,No,No,227
Yes,Yes,DSL,No,No,No,Yes,No,Yes,228
Yes,Yes,Fiber optic,No,No,Unknown,No,Yes,No,229
No,No,No,No,No,No,No,No,No,230
Yes,No,Fiber optic,No,No,No,Yes,Yes,No,231
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,232
Yes,Yes,DSL,No,Yes,No,Yes,No,No,233
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,234
Yes,No,Fiber optic,No,No,No,No,Yes,No,235
Yes,Yes,DSL,No,No,No,No,No,No,236
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,237
No,Yes,Fiber optic,Yes,No,No,No,No,No,238
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,239
Yes,No,No,No,No,No,No,No,No,240
Yes,No,Fiber optic,No,No,No,No,No,Yes,241
Yes,No,DSL,No,No,No,Yes,Yes,No,242
Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,243
Yes,Yes,DSL,No,No,No,Yes,No,No,244
Yes,Yes,DSL,Yes,No,No,No,No,No,245
Yes,No,DSL,No,Yes,Yes,No,No,Yes,246
Yes,No,Fiber optic,Yes,Yes,No,No,No,No,247
Yes,No,No,No,No,No,No,No,No,248
Yes,Yes,DSL,No,No,No,Yes,Unknown,No,249
Yes,No,Fiber optic,No,Yes,No,No,No,No,250
Yes,Yes,DSL,Yes,No,No,No,No,No,251
Yes,Yes,Fiber optic,No,No,Yes,No,Unknown,No,252
Yes,No,No,No,No,No,No,No,No,253
Yes,No,Fiber optic,No,No,No,No,No,No,254
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,255
Yes,Yes,No,No,No,No,No,No,No,256
Yes,Yes,Fiber optic,No,No,No,No,No,No,257
Yes,No,No,No,No,No,No,No,No,258
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,259
Yes,No,Fiber optic,No,No,No,No,No,Yes,260
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,261
Yes,No,Fiber optic,No,No,Yes,No,No,No,262
Yes,Unknown,Fiber optic,Unknown,No,Yes,Yes,No,No,263
Yes,Unknown,No,No,No,No,No,No,No,264
Yes,No,DSL,Yes,Yes,No,No,No,No,265
Yes,No,DSL,Yes,Yes,No,Yes,No,No,266
Yes,Yes,DSL,No,No,No,No,No,No,267
Yes,No,Fiber optic,No,Unknown,No,No,Yes,No,268
Yes,No,Fiber optic,No,No,No,No,No,No,269
Yes,No,Fiber optic,No,No,No,No,Yes,No,270
No,No,Fiber optic,Yes,No,No,No,No,No,271
Yes,No,Fiber optic,No,No,No,Yes,No,Yes,272
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,273
No,No,Fiber optic,No,No,Yes,No,No,No,274
Yes,Yes,Fiber optic,No,No,No,No,No,No,275
Yes,Unknown,DSL,No,Yes,Yes,No,No,No,276
Yes,Yes,DSL,Unknown,Yes,No,No,No,Unknown,277
Yes,Yes,No,No,No,No,No,No,No,278
Yes,No,Fiber optic,No,No,Yes,No,No,No,279
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,280
Yes,Yes,Fiber optic,No,Yes,Unknown,No,No,Yes,281
Yes,No,Fiber optic,No,No,Yes,Yes,No,No,282
Yes,Yes,Fiber optic,No,No,No,No,No,No,283
No,No,Fiber optic,No,Yes,No,No,Yes,Yes,284
No,No,Fiber optic,No,Yes,Yes,No,No,No,285
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,286
Yes,Yes,No,No,No,No,No,No,No,287
Yes,No,Fiber optic,No,Yes,No,No,No,No,288
No,No,Fiber optic,No,Yes,No,Yes,No,Yes,289
Yes,No,Fiber optic,Yes,No,No,No,No,No,290
Yes,No,No,No,No,No,No,No,No,291
Yes,Yes,Fiber optic,No,No,No,No,No,No,292
Yes,Yes,Fiber optic,No,No,No,No,No,No,293
Yes,No,Fiber optic,No,No,No,Yes,No,No,294
Yes,Yes,Fiber optic,No,No,No,No,No,No,295
Yes,Yes,DSL,Yes,No,No,Yes,Unknown,No,296
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,297
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,298
Yes,Yes,Fiber optic,No,No,No,No,No,No,299
Yes,No,DSL,Yes,No,No,No,No,Yes,300
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,301
Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,302
Yes,Unknown,DSL,No,No,No,No,No,No,303
Yes,No,Fiber optic,No,No,No,Yes,No,No,304
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,305
Yes,Yes,DSL,No,No,Yes,Unknown,No,No,306
Yes,No,Fiber optic,No,No,No,Yes,No,No,307
Yes,No,DSL,No,No,Yes,No,No,Unknown,308
Yes,No,DSL,No,No,No,No,Yes,No,309
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,310
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,311
Yes,No,No,No,No,No,No,No,No,312
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,313
Yes,Yes,Fiber optic,No,No,No,No,No,No,314
No,No,No,No,No,No,No,No,No,315
Yes,No,DSL,No,No,No,No,No,Yes,316
Yes,Yes,Fiber optic,No,No,Unknown,Yes,Unknown,Unknown,317
Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,318
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,319
No,No,No,No,No,No,No,No,No,320
Yes,No,DSL,No,Yes,No,No,Yes,No,321
Yes,No,Fiber optic,Yes,No,No,No,Yes,Unknown,322
Yes,Yes,No,No,No,No,No,No,No,323
Yes,Yes,Fiber optic,No,No,No,No,No,No,324
Yes,No,Fiber optic,Yes,No,No,No,No,No,325
Yes,No,Fiber optic,No,No,No,Yes,No,No,326
Yes,Yes,Fiber optic,No,Yes,No,Yes,Unknown,No,327
Yes,No,No,No,No,No,No,No,No,328
Yes,Yes,Fiber optic,No,No,No,No,No,Unknown,329
Yes,Yes,DSL,No,No,No,No,No,No,330
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,331
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,332
Yes,Unknown,Fiber optic,No,No,Unknown,No,No,No,333
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,334
Yes,No,No,No,No,No,No,No,No,335
Yes,Yes,DSL,No,No,Yes,No,No,No,336
Yes,Yes,DSL,Yes,No,Unknown,No,No,Yes,337
Yes,Unknown,No,No,No,No,No,No,No,338
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,339
Yes,No,Fiber optic,Yes,No,No,No,No,No,340
Yes,No,Fiber optic,No,No,No,No,Yes,No,341
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,342
Yes,Yes,DSL,No,No,Yes,No,No,Yes,343
Yes,No,Fiber optic,No,Yes,Unknown,No,No,No,344
Yes,No,Fiber optic,No,No,No,Yes,No,No,345
Yes,Yes,No,No,No,No,No,No,No,346
No,No,Fiber optic,No,No,No,No,Yes,No,347
Yes,No,Fiber optic,No,No,No,No,Yes,No,348
Yes,Yes,No,No,No,No,No,No,No,349
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,350
Yes,No,Fiber optic,Yes,No,No,No,No,No,351
Yes,No,Fiber optic,No,No,No,Yes,Yes,Unknown,352
Yes,Unknown,Fiber optic,No,No,No,Yes,No,Yes,353
Yes,No,DSL,Yes,Yes,No,Yes,No,Unknown,354
Yes,Yes,No,No,No,No,No,No,No,355
Yes,No,DSL,No,No,No,No,No,Yes,356
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,357
Yes,No,Fiber optic,Yes,No,No,No,No,No,358
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,359
Yes,No,Fiber optic,No,No,Yes,No,No,No,360
Yes,Yes,Fiber optic,No,No,No,No,No,No,361
Yes,Yes,Fiber optic,Unknown,Yes,No,No,Yes,No,362
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,363
No,No,Fiber optic,Yes,No,No,No,No,No,364
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,365
Yes,Yes,No,No,No,No,No,No,No,366
Yes,Yes,Fiber optic,No,Yes,No,Unknown,No,No,367
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,368
Yes,Yes,Fiber optic,No,No,No,No,No,No,369
Yes,Yes,DSL,Unknown,No,No,No,No,No,370
Yes,No,No,No,No,No,No,No,No,371
Yes,Yes,No,No,No,No,No,No,No,372
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,373
Yes,Yes,No,No,No,No,No,No,No,374
No,No,Fiber optic,No,No,Yes,Yes,No,Yes,375
Yes,No,DSL,No,No,No,Yes,No,Yes,376
No,No,Fiber optic,No,Yes,No,No,No,No,377
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,378
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,379
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,380
No,No,No,No,No,No,No,No,No,381
Yes,No,No,No,No,No,No,No,No,382
Yes,No,Fiber optic,No,No,No,No,Yes,No,383
No,No,Fiber optic,No,No,No,No,Yes,No,384
Yes,No,No,No,No,No,No,No,No,385
Yes,Yes,DSL,No,No,No,No,Unknown,Yes,386
Yes,Yes,DSL,No,No,No,No,No,No,387
No,No,Fiber optic,No,No,No,Yes,Yes,No,388
Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,389
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,390
Yes,No,DSL,Yes,No,No,No,No,No,391
Yes,Yes,Fiber optic,Yes,Unknown,No,No,No,No,392
No,No,Fiber optic,No,Yes,No,No,No,Yes,393
Yes,No,No,No,No,No,No,No,No,394
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,395
Yes,Yes,No,No,No,No,No,No,No,396
Yes,No,Fiber optic,No,No,No,No,Yes,No,397
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,398
Yes,Unknown,Fiber optic,No,No,No,No,No,No,399
Yes,Yes,Fiber optic,No,Unknown,No,No,No,No,400
Yes,No,No,No,No,No,No,No,No,401
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,402
Yes,No,Fiber optic,No,No,No,No,No,No,403
Yes,Yes,Fiber optic,No,No,No,No,No,No,404
Yes,Yes,DSL,No,No,No,No,No,No,405
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,406
Yes,No,No,No,No,No,No,No,No,407
Yes,No,Fiber optic,No,No,Yes,No,Yes,No,408
Yes,No,Fiber optic,No,Yes,No,No,No,No,409
Yes,Yes,DSL,Unknown,No,No,No,No,No,410
Yes,No,DSL,Yes,Yes,No,Yes,No,No,411
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,412
No,No,DSL,No,Unknown,No,Yes,Yes,No,413
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,414
Yes,Yes,Fiber optic,Yes,No,No,Unknown,Yes,Yes,415
Yes,No,Fiber optic,No,No,Yes,No,No,No,416
Yes,Yes,Fiber optic,No,No,No,No,No,No,417
Yes,No,Fiber optic,No,No,No,No,No,No,418
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,419
Yes,Yes,DSL,No,No,No,No,No,No,420
Yes,No,Fiber optic,No,No,Yes,No,No,No,421
Yes,Yes,Fiber optic,Unknown,No,No,Yes,No,No,422
Yes,No,Fiber optic,No,Unknown,No,No,Yes,No,423
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,424
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,425
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,426
Yes,Yes,Fiber optic,No,No,No,No,Unknown,No,427
Yes,Yes,Fiber optic,No,No,No,No,No,No,428
Yes,Yes,Fiber optic,No,No,No,No,No,No,429
Yes,Yes,No,No,No,No,No,No,No,430
Yes,No,No,No,No,No,No,No,No,431
Yes,No,Fiber optic,No,No,No,No,No,No,432
No,No,Fiber optic,Yes,No,No,No,Yes,Yes,433
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,434
Yes,Yes,Fiber optic,No,No,No,No,No,No,435
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,436
Yes,Yes,Fiber optic,No,No,No,No,No,No,437
No,No,DSL,No,No,No,No,No,No,438
Yes,No,Fiber optic,No,No,No,No,No,No,439
Yes,Yes,Fiber optic,Unknown,No,No,No,Yes,No,440
Yes,Yes,No,No,No,No,No,No,No,441
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,442
Yes,No,Fiber optic,No,No,No,No,No,No,443
No,No,DSL,Unknown,No,No,No,No,No,444
Yes,Yes,Fiber optic,No,No,No,No,No,No,445
No,No,DSL,No,No,No,No,No,No,446
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,447
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,448
Yes,Yes,Fiber optic,No,No,No,No,No,No,449
Yes,No,DSL,Unknown,Yes,No,No,No,No,450
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,451
No,No,Fiber optic,No,No,No,Yes,Yes,Yes,452
Yes,Yes,Fiber optic,No,No,No,No,No,No,453
Yes,No,No,No,No,No,No,No,No,454
Yes,No,Fiber optic,No,No,No,No,No,No,455
Yes,No,No,No,No,No,No,No,No,456
Yes,Yes,No,No,No,No,No,No,No,457
Yes,No,Fiber optic,No,No,Yes,No,No,No,458
Yes,No,DSL,No,Yes,No,No,No,Yes,459
Yes,No,DSL,Unknown,No,No,No,Yes,No,460
Yes,No,Fiber optic,No,No,No,No,No,No,461
Yes,Yes,Fiber optic,Unknown,No,No,No,No,Yes,462
Yes,Yes,DSL,No,Unknown,Yes,Yes,No,No,463
Yes,No,DSL,No,No,No,No,No,No,464
No,No,Fiber optic,Unknown,No,No,Yes,Yes,No,465
Yes,Yes,Fiber optic,No,No,No,No,Unknown,No,466
Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,467
Yes,Yes,No,No,No,No,No,No,No,468
Yes,No,Fiber optic,Yes,No,Unknown,Yes,No,Yes,469
Yes,Yes,No,No,No,No,No,No,No,470
Yes,Yes,No,No,No,No,No,No,No,471
Yes,Yes,Fiber optic,No,No,No,No,No,No,472
Yes,No,No,No,No,No,No,No,No,473
Yes,No,DSL,Yes,No,No,No,Yes,Yes,474
Yes,No,No,No,No,No,No,No,No,475
Yes,No,Fiber optic,No,No,No,Yes,Yes,No,476
No,No,Fiber optic,No,No,Yes,No,No,No,477
