customerID,gender,SeniorCitizen,Partner,Depndents,Churn
CUST00149,Male,No,Yes,No,Yes
CUST00150,Male,No,No,No,Yes
CUST00151,Female,No,No,No,No
CUST00152,Female,No,No,No,No
CUST00153,Male,No,No,Yes,No
CUST00154,Female,No,Yes,Yes,No
CUST00155,Male,Yes,No,No,Yes
CUST00156,Female,No,No,No,No
CUST00157,Female,No,No,No,No
CUST00158,Male,No,Yes,Yes,No
CUST00159,Male,No,Yes,No,Yes
CUST00160,Male,No,No,Yes,No
CUST00161,Male,No,Yes,Yes,No
CUST00162,Male,No,Yes,No,No
CUST00163,Male,Yes,No,Yes,Yes
CUST00164,Female,No,No,Yes,Yes
CUST00165,Male,No,Yes,No,No
CUST00166,Female,No,No,No,Yes
CUST00167,Female,Yes,Yes,Yes,Yes
CUST00168,Male,No,No,Unknow,Yes
CUST00169,Female,No,Yes,Yes,No
CUST00170,Male,No,Yes,Yes,Yes
CUST00171,Female,No,No,No,Yes
CUST00172,Female,No,No,Yes,No
CUST00173,Male,No,Yes,No,Yes
CUST00174,Female,No,No,No,No
CUST00175,Female,No,No,Yes,No
CUST00176,Female,No,No,Yes,No
CUST00177,Male,No,No,Yes,No
CUST00178,Female,No,Unknown,No,Yes
CUST00179,Male,No,Yes,Yes,Yes
CUST00180,Female,No,Yes,Unknow,No
CUST00181,Male,No,Yes,No,Yes
CUST00182,Male,No,No,Yes,Yes
CUST00183,Male,No,No,No,No
CUST00184,Female,No,No,Yes,No
CUST00185,Female,No,Yes,Yes,No
CUST00186,Female,No,No,No,No
CUST00187,Female,No,No,No,No
CUST00188,Male,No,No,No,No
CUST00189,Female,No,No,No,Yes
CUST00190,Male,No,No,Yes,No
CUST00191,Female,No,Yes,No,Yes
CUST00192,Male,No,No,Yes,Yes
CUST00193,Female,Yes,No,No,Yes
CUST00194,Male,No,No,Yes,Yes
CUST00195,Male,No,Unknown,No,No
CUST00196,Male,No,No,Yes,No
CUST00197,Female,Yes,Yes,Yes,Yes
CUST00198,Male,No,Unknown,Yes,Yes
CUST00199,Female,No,No,No,No
CUST00200,Male,Yes,No,No,No
CUST00201,Female,No,Yes,Yes,Yes
CUST00202,Female,No,No,Yes,Yes
CUST00203,Female,No,Unknown,No,Yes
CUST00204,Female,Yes,No,No,No
CUST00205,Male,No,No,Yes,No
CUST00206,Male,No,No,No,No
CUST00207,Male,No,Yes,Yes,Yes
CUST00208,Male,No,Yes,No,No
CUST00209,Female,No,No,No,Yes
CUST00210,Male,Yes,Unknown,No,No
CUST00211,Male,No,No,No,Yes
CUST00212,Female,No,Yes,Yes,Yes
CUST00213,Female,No,No,No,Yes
CUST00214,Male,Yes,No,Yes,No
CUST00215,Female,Yes,No,No,Yes
CUST00216,Male,No,No,No,No
CUST00217,Female,No,Yes,No,Yes
CUST00218,Male,Yes,No,No,Yes
CUST00219,Female,No,No,No,Yes
CUST00220,Female,No,Yes,No,Yes
CUST00221,Female,Yes,No,No,Yes
CUST00222,Female,No,Unknown,No,Yes
CUST00223,Male,No,No,No,Yes
CUST00224,Male,No,Yes,No,Yes
CUST00225,Male,No,No,No,No
CUST00226,Male,No,Yes,No,Yes
CUST00227,Male,No,Yes,No,Yes
CUST00228,Female,No,No,No,No
CUST00229,Male,No,No,No,No
CUST00230,Male,Yes,No,Yes,No
CUST00231,Male,No,Yes,Yes,No
CUST00232,Female,Yes,Yes,Yes,Yes
CUST00233,Female,Yes,No,No,No
CUST00234,Female,No,No,Yes,No
CUST00235,Male,No,No,No,No
CUST00236,Male,No,Yes,No,Yes
CUST00237,Male,Yes,No,No,Yes
CUST00238,Male,Yes,No,No,No
CUST00239,Female,No,Unknown,No,Yes
CUST00240,Male,Yes,No,No,No
CUST00241,Male,No,Yes,Yes,No
CUST00242,Female,No,Yes,Yes,Yes
CUST00243,Male,No,Unknown,No,No
CUST00244,Female,Yes,No,Yes,No
CUST00245,Female,Yes,No,No,Yes
CUST00246,Male,No,Yes,No,No
CUST00247,Male,No,No,Yes,No
CUST00248,Female,No,No,Yes,No
CUST00249,Unknown,No,Yes,Yes,Yes
CUST00250,Male,No,Yes,No,Yes
CUST00251,Male,No,Yes,No,Yes
CUST00252,Male,No,Yes,Yes,No
CUST00253,Male,No,No,No,Yes
CUST00254,Female,No,Yes,Yes,No
CUST00255,Female,No,No,No,No
CUST00256,Male,Yes,No,Yes,Yes
CUST00257,Male,Yes,No,Yes,Yes
CUST00258,Female,Yes,Yes,No,Yes
CUST00259,Male,No,Yes,No,No
CUST00260,Male,No,No,No,Yes
CUST00261,Male,No,No,No,Yes
CUST00262,Male,No,No,No,No
CUST00263,Male,No,No,Yes,Yes
CUST00264,Male,No,Yes,No,Yes
CUST00265,Female,No,No,No,Yes
CUST00266,Female,No,No,No,Yes
CUST00267,Male,No,Yes,No,Yes
CUST00268,Female,No,Yes,No,No
CUST00269,Female,No,No,No,Yes
CUST00270,Female,Yes,Yes,No,No
CUST00271,Male,Yes,No,No,No
CUST00272,Female,No,Yes,Yes,Yes
CUST00273,Male,No,No,Yes,Yes
CUST00274,Female,No,No,Yes,No
CUST00275,Female,Yes,No,No,No
CUST00276,Female,No,No,No,Yes
CUST00277,Female,No,No,No,No
CUST00278,Male,No,Yes,No,Yes
CUST00279,Female,Yes,Yes,No,Yes
CUST00280,Unknown,No,Yes,No,No
CUST00281,Female,No,Yes,Yes,No
CUST00282,Male,No,Yes,No,Yes
CUST00283,Male,No,No,No,No
CUST00284,Male,No,No,No,No
CUST00285,Female,Yes,No,No,Yes
CUST00286,Male,Yes,No,No,No
CUST00287,Female,Yes,No,No,No
CUST00288,Male,No,No,No,No
CUST00289,Female,No,Yes,Yes,No
CUST00290,Female,No,No,Unknow,Yes
CUST00291,Male,No,Yes,No,No
CUST00292,Female,No,No,No,No
CUST00293,Female,No,No,No,No
CUST00294,Female,No,No,No,No
CUST00295,Male,No,No,Yes,Yes
CUST00296,Female,No,No,No,Yes
CUST00297,Female,Yes,Yes,No,Yes
CUST00298,Male,No,No,No,No
CUST00299,Female,No,No,No,Yes
CUST00300,Male,No,No,Unknow,No
CUST00301,Female,Yes,Yes,No,Yes
CUST00302,Female,No,No,Yes,No
CUST00303,Female,Yes,No,No,No
CUST00304,Male,Yes,No,Yes,Yes
CUST00305,Male,No,No,No,No
CUST00306,Male,No,No,No,Yes
CUST00307,Male,No,Yes,Yes,No
CUST00308,Female,No,No,Yes,Yes
CUST00309,Male,No,Unknown,No,Yes
CUST00310,Male,No,No,No,Yes
CUST00311,Female,No,Yes,No,No
CUST00312,Male,No,No,No,Yes
CUST00313,Female,No,No,No,No
CUST00314,Male,No,Yes,No,No
CUST00315,Male,No,Yes,No,Yes
CUST00316,Male,No,No,Unknow,Yes
CUST00317,Male,No,No,No,No
CUST00318,Female,Yes,No,No,No
CUST00319,Female,No,Yes,No,Yes
CUST00320,Female,Yes,Yes,No,Yes
CUST00321,Female,No,Yes,Yes,Yes
CUST00322,Male,No,Yes,Yes,No
CUST00323,Male,No,No,No,Yes
CUST00324,Female,No,No,No,No
CUST00325,Male,No,Yes,No,Yes
CUST00326,Female,No,No,No,Yes
CUST00327,Female,Yes,Yes,No,No
CUST00328,Female,No,No,No,Yes
CUST00329,Female,No,No,No,No
CUST00330,Male,No,No,Unknow,Yes
CUST00331,Female,Yes,Yes,Yes,No
CUST00332,Male,No,No,No,No
CUST00333,Female,No,Yes,No,No
CUST00334,Female,Yes,Yes,Yes,No
CUST00335,Female,No,No,No,Yes
CUST00336,Male,Yes,No,Yes,No
CUST00337,Male,No,No,No,No
CUST00338,Female,No,No,No,Yes
CUST00339,Female,No,No,Yes,No
CUST00340,Female,No,No,Yes,No
CUST00341,Female,No,No,No,Yes
CUST00342,Male,No,No,No,Yes
CUST00343,Male,No,Yes,No,No
CUST00344,Female,No,Yes,No,No
CUST00345,Female,No,No,Yes,Yes
CUST00346,Female,No,No,No,No
CUST00347,Male,No,Yes,Yes,No
CUST00348,Female,No,No,Yes,Yes
CUST00349,Male,No,No,No,Yes
CUST00350,Female,No,No,Yes,No
CUST00351,Female,Yes,No,No,No
CUST00352,Female,Yes,Yes,Unknow,No
CUST00353,Female,No,No,No,Yes
CUST00354,Male,No,No,Yes,No
CUST00355,Male,No,Yes,No,No
CUST00356,Male,Yes,Yes,No,Yes
CUST00357,Female,No,No,Yes,No
CUST00358,Male,No,No,No,Yes
CUST00359,Male,No,Yes,No,Yes
CUST00360,Male,Yes,Yes,No,No
CUST00361,Male,Yes,Yes,Unknow,Yes
CUST00362,Male,No,Yes,No,Yes
CUST00363,Male,No,No,No,Yes
CUST00364,Female,No,No,No,Yes
CUST00365,Male,No,Yes,No,No
CUST00366,Female,No,Yes,No,No
CUST00367,Female,No,Unknown,No,No
CUST00368,Male,No,No,No,No
CUST00369,Female,No,No,Yes,No
CUST00370,Female,No,No,Yes,Yes
CUST00371,Female,No,No,Yes,Yes
CUST00372,Male,No,Yes,Yes,No
CUST00373,Male,No,No,Yes,No
CUST00374,Female,No,No,No,No
CUST00375,Female,No,Yes,No,No
CUST00376,Male,No,No,No,No
CUST00377,Male,No,Yes,No,Yes
CUST00378,Male,No,Yes,No,No
CUST00379,Male,No,No,No,No
CUST00380,Female,No,No,No,Yes
CUST00381,Female,No,No,No,Yes
CUST00382,Male,No,Yes,No,Yes
CUST00383,Female,No,No,No,Yes
CUST00384,Male,No,No,No,No
CUST00385,Female,No,Yes,No,Yes
CUST00386,Female,No,No,No,Yes
CUST00387,Female,No,No,No,No
CUST00388,Male,No,No,No,Yes
CUST00389,Male,No,Unknown,Yes,No
CUST00390,Female,No,Yes,No,Yes
CUST00391,Male,No,No,Yes,No
CUST00392,Male,No,Yes,No,Yes
CUST00393,Female,Unknown,No,No,No
CUST00394,Male,No,No,Yes,Yes
CUST00395,Male,No,Yes,No,Yes
CUST00396,Male,No,No,No,Yes
CUST00397,Male,No,No,Yes,No
CUST00398,Male,No,Unknown,Yes,No
CUST00399,Female,No,No,No,No
CUST00400,Female,Yes,Yes,Unknow,Yes
CUST00401,Female,No,No,Yes,Yes
CUST00402,Female,No,Yes,No,No
CUST00403,Female,No,No,No,No
CUST00404,Female,No,No,No,Yes
CUST00405,Male,No,No,Yes,No
CUST00406,Male,No,Yes,Yes,No
CUST00407,Female,No,Yes,No,Yes
CUST00408,Male,Yes,Unknown,No,No
CUST00409,Female,No,No,No,No
CUST00410,Male,No,No,Yes,Yes
CUST00411,Male,Yes,Yes,No,Yes
CUST00412,Female,No,No,No,No
CUST00413,Male,No,Yes,No,No
CUST00414,Female,Yes,No,Yes,No
CUST00415,Female,No,No,No,Yes
CUST00416,Male,No,No,Yes,No
CUST00417,Female,No,No,No,No
CUST00418,Female,No,No,No,Yes
CUST00419,Male,No,No,Yes,No
CUST00420,Female,No,No,Yes,No
CUST00421,Male,No,No,Yes,No
CUST00422,Male,No,No,No,Yes
CUST00423,Female,No,No,No,Yes
CUST00424,Female,Yes,No,No,No
CUST00425,Male,No,Yes,No,Yes
CUST00426,Male,No,Yes,No,Yes
CUST00427,Female,No,No,No,Yes
CUST00428,Male,No,Yes,Yes,Yes
CUST00429,Female,No,Yes,No,Yes
CUST00430,Male,Yes,No,No,No
CUST00431,Female,No,No,Yes,Yes
CUST00432,Female,Yes,No,Yes,No
CUST00433,Female,No,No,No,No
CUST00434,Male,No,No,No,No
CUST00435,Female,No,Yes,No,Yes
CUST00436,Female,No,Unknown,Yes,Yes
CUST00437,Male,No,No,No,No
CUST00438,Male,No,Yes,No,Yes
CUST00439,Female,Yes,No,Yes,Yes
CUST00440,Female,No,Yes,Yes,Yes
CUST00441,Female,No,Yes,No,No
CUST00442,Female,No,No,No,Yes
CUST00443,Male,No,No,No,Yes
CUST00444,Female,No,No,No,No
CUST00445,Female,No,No,No,Yes
CUST00446,Female,Yes,Yes,Yes,No
CUST00447,Male,Yes,Yes,No,Yes
CUST00448,Female,No,No,No,Yes
CUST00449,Female,No,No,No,No
CUST00450,Female,No,No,No,No
CUST00451,Male,No,No,No,Yes
CUST00452,Male,No,No,Yes,No
CUST00453,Female,No,Yes,No,No
CUST00454,Male,No,No,Yes,No
CUST00455,Female,No,Yes,No,No
CUST00456,Female,Yes,Yes,Yes,No
CUST00457,Female,No,No,No,No
CUST00458,Male,Yes,No,No,Yes
CUST00459,Female,No,No,Yes,No
CUST00460,Male,No,No,No,Yes
CUST00461,Female,No,Yes,No,No
CUST00462,Female,Yes,Yes,No,No
CUST00463,Female,Yes,Yes,No,No
CUST00464,Unknown,No,Unknown,Yes,Yes
CUST00465,Female,No,No,No,No
CUST00466,Female,Yes,No,Unknow,No
CUST00467,Male,No,Yes,Yes,Yes
CUST00468,Male,Yes,Yes,No,No
CUST00469,Female,No,Yes,No,No
CUST00470,Male,No,No,Yes,Yes
CUST00471,Female,No,No,No,Yes
CUST00472,Female,No,Yes,No,Yes
CUST00473,Male,No,No,No,Yes
CUST00474,Male,No,Yes,No,Yes
CUST00475,Female,Yes,No,No,Yes
CUST00476,Male,No,No,Yes,No
CUST00477,Male,No,Yes,No,No
CUST00478,Female,No,Yes,Yes,Yes
CUST00479,Female,No,Yes,Unknow,No
CUST00480,Female,No,No,No,No
CUST00481,Female,No,Yes,Yes,No
CUST00482,Female,Yes,Unknown,No,No
CUST00483,Male,No,Yes,Yes,Yes
CUST00484,Male,No,Yes,Yes,No
CUST00485,Male,No,No,No,No
CUST00486,Male,Yes,Yes,No,Yes
CUST00487,Female,No,Yes,Yes,No
CUST00488,Female,No,No,Yes,Yes
CUST00489,Female,Yes,No,No,No
CUST00490,Male,No,Yes,No,No
CUST00491,Female,No,No,No,No
CUST00492,Female,No,No,Unknow,No
CUST00493,Female,No,No,No,No
CUST00494,Male,No,Unknown,No,Yes
CUST00495,Female,Yes,Yes,Unknow,No
CUST00496,Male,No,Yes,No,No
CUST00497,Male,No,No,Yes,No
CUST00498,Male,No,No,Yes,Yes
CUST00499,Male,No,No,No,No
CUST00500,Female,No,Yes,No,Yes
CUST00501,Female,No,No,No,No
CUST00502,Female,Yes,Yes,Yes,No
CUST00503,Female,Yes,No,No,No
CUST00504,Male,Yes,No,Yes,Yes
CUST00505,Male,No,Yes,No,No
CUST00506,Female,No,No,Yes,No
CUST00507,Female,No,No,No,No
CUST00508,Female,Yes,Yes,No,Yes
CUST00509,Male,No,No,No,Yes
CUST00510,Male,No,No,No,No
CUST00511,Female,No,No,Yes,No
CUST00512,Female,Yes,Unknown,Yes,No
CUST00513,Male,No,No,No,Yes
CUST00514,Female,Yes,No,No,Yes
CUST00515,Female,No,No,Unknow,No
CUST00516,Male,Yes,No,No,No
CUST00517,Male,No,No,No,No
CUST00518,Male,No,No,No,No
CUST00519,Male,Yes,Yes,No,No
CUST00520,Male,No,No,No,Yes
CUST00521,Female,No,No,No,No
CUST00522,Female,No,Yes,No,No
CUST00523,Male,No,No,Yes,No
CUST00524,Male,No,Unknown,No,No
CUST00525,Male,No,No,Yes,Yes
CUST00526,Female,No,Unknown,No,No
CUST00527,Male,No,No,No,Yes
CUST00528,Female,No,Yes,No,No
CUST00529,Male,Yes,No,No,Yes
CUST00530,Female,No,No,No,Yes
CUST00531,Female,No,Yes,No,No
CUST00532,Female,Yes,No,No,Yes
CUST00533,Female,No,Yes,No,No
CUST00534,Female,Yes,Yes,Yes,Yes
CUST00535,Female,No,Yes,No,Yes
CUST00536,Female,Yes,Yes,No,No
CUST00537,Male,No,Yes,No,Yes
CUST00538,Female,No,No,Yes,No
CUST00539,Male,No,No,No,Yes
CUST00540,Female,No,No,No,No
CUST00541,Female,No,No,No,Yes
CUST00542,Female,No,Yes,No,No
CUST00543,Female,Yes,No,No,Yes
CUST00544,Male,No,No,Yes,Yes
CUST00545,Male,Yes,Yes,Yes,Yes
CUST00546,Female,No,Yes,No,No
CUST00547,Male,No,Yes,Yes,Yes
CUST00548,Female,No,Yes,No,No
CUST00549,Male,No,No,No,Yes
CUST00550,Male,No,No,No,No
CUST00551,Male,No,No,No,Yes
CUST00552,Female,No,No,No,Yes
CUST00553,Female,No,No,No,Yes
CUST00554,Male,No,Yes,No,Yes
CUST00555,Male,No,No,No,No
CUST00556,Female,No,Yes,No,Yes
CUST00557,Female,No,No,No,Yes
CUST00558,Female,No,Yes,No,Yes
CUST00559,Female,No,No,Yes,Yes
CUST00560,Female,No,Yes,No,No
CUST00561,Female,No,Unknown,No,Yes
CUST00562,Female,No,No,Yes,Yes
CUST00563,Female,No,Unknown,Yes,No
CUST00564,Male,No,Unknown,Yes,No
CUST00565,Female,Yes,Yes,No,No
CUST00566,Male,No,No,No,No
CUST00567,Male,No,No,Unknow,No
CUST00568,Female,No,Yes,Yes,No
CUST00569,Female,No,Yes,Yes,Yes
CUST00570,Male,Yes,Yes,Yes,No
CUST00571,Male,No,No,No,No
CUST00572,Female,Yes,No,No,No
CUST00573,Male,No,Yes,Yes,Yes
CUST00574,Female,No,No,No,No
CUST00575,Female,No,No,Yes,Yes
CUST00576,Female,Yes,Yes,No,Yes
CUST00577,Male,No,No,No,No
CUST00578,Female,No,Yes,No,No
CUST00579,Unknown,No,No,Unknow,No
CUST00580,Male,No,Yes,No,No
CUST00581,Female,No,No,No,No
CUST00582,Male,Unknown,Yes,No,No
CUST00583,Male,No,No,Yes,No
CUST00584,Female,No,Yes,No,No
CUST00585,Female,Yes,Yes,Yes,Yes
CUST00586,Female,No,No,No,Yes
CUST00587,Male,No,No,Yes,No
CUST00588,Male,Yes,Yes,No,No
CUST00589,Male,No,Yes,No,No
CUST00590,Male,No,No,Yes,No
CUST00591,Female,No,Yes,No,No
CUST00592,Male,No,No,No,Yes
CUST00593,Male,No,No,No,No
CUST00594,Male,No,No,No,No
CUST00595,Female,No,Yes,No,No
CUST00596,Female,No,Yes,No,Yes
CUST00597,Unknown,No,No,No,Yes
CUST00598,Female,Yes,Yes,No,Yes
CUST00599,Male,No,No,No,No
CUST00600,Male,No,Yes,Unknow,No
CUST00601,Male,No,No,Yes,No
CUST00602,Male,No,No,No,Yes
CUST00603,Female,No,No,Yes,Yes
CUST00604,Male,No,Yes,No,Yes
CUST00605,Male,No,Unknown,No,No
CUST00606,Male,Yes,Yes,Yes,No
CUST00607,Female,No,No,No,Yes
CUST00608,Female,No,No,Yes,Yes
CUST00609,Female,No,No,Unknow,No
CUST00610,Female,No,No,No,Yes
CUST00611,Male,No,Yes,No,Yes
CUST00612,Female,No,No,Unknow,No
CUST00613,Female,No,Yes,No,Yes
CUST00614,Female,Yes,No,Yes,No
CUST00615,Female,No,No,No,Yes
CUST00616,Female,No,No,Unknow,No
CUST00617,Male,No,No,No,Yes
CUST00618,Male,No,Yes,Yes,No
CUST00619,Male,No,Yes,Yes,Yes
CUST00620,Female,Yes,Yes,Unknow,No
CUST00621,Female,Yes,Yes,No,No
CUST00622,Female,No,Yes,No,No
CUST00623,Female,No,No,No,No
CUST00624,Male,Yes,No,No,Yes
CUST00625,Male,No,No,No,No
CUST00626,Male,No,No,No,Yes
CUST00627,Female,No,Yes,Yes,Yes
CUST00628,Female,No,No,No,No
CUST00629,Female,No,Yes,Yes,Yes
CUST00630,Male,Yes,No,No,No
CUST00631,Male,No,Yes,No,Yes
CUST00632,Unknown,No,No,No,No
CUST00633,Male,No,No,No,Yes
CUST00634,Male,No,No,No,Yes
CUST00635,Female,No,Yes,No,No
CUST00636,Male,No,Yes,No,No
CUST00637,Male,No,Yes,No,Yes
CUST00638,Male,No,No,No,Yes
CUST00639,Female,No,No,No,No
CUST00640,Female,No,Yes,Yes,No
CUST00641,Female,No,Yes,Unknow,Yes
CUST00642,Female,Yes,No,No,No
CUST00643,Male,No,No,No,No
CUST00644,Female,No,No,No,No
CUST00645,Female,No,Yes,No,No
CUST00646,Male,No,Yes,Yes,No
CUST00647,Female,No,Yes,No,No
CUST00648,Male,Yes,Yes,No,Yes
CUST00649,Female,No,Unknown,Yes,Yes
CUST00650,Female,No,No,No,Yes
CUST00651,Male,No,Yes,No,No
CUST00652,Unknown,Yes,No,No,Yes
CUST00653,Male,No,No,No,No
CUST00654,Male,No,Yes,Yes,No
CUST00655,Female,No,No,No,Yes
CUST00656,Female,Yes,No,No,No
CUST00657,Female,Yes,No,No,No
CUST00658,Female,No,No,No,No
CUST00659,Female,No,Yes,Yes,No
CUST00660,Female,No,Yes,No,No
CUST00661,Male,No,Yes,Yes,Yes
CUST00662,Male,No,Yes,No,No
CUST00663,Female,No,Yes,Unknow,No
CUST00664,Female,No,Yes,Yes,No
CUST00665,Male,No,No,No,No
CUST00666,Male,No,No,No,Yes
CUST00667,Male,No,No,No,No
CUST00668,Female,No,No,No,Yes
CUST00669,Female,No,No,Unknow,No
CUST00670,Male,No,No,Yes,No
CUST00671,Female,No,Yes,No,Yes
CUST00672,Male,No,No,No,No
CUST00673,Female,No,No,No,Yes
CUST00674,Male,No,Yes,Yes,Yes
CUST00675,Male,No,Yes,No,No
CUST00676,Female,No,No,Yes,Yes
CUST00677,Female,No,No,No,No
CUST00678,Male,No,No,No,No
CUST00679,Female,Yes,No,No,Yes
CUST00680,Male,No,No,No,Yes
CUST00681,Female,No,Yes,No,No
CUST00682,Male,No,No,Yes,No
CUST00683,Male,No,No,No,Yes
CUST00684,Male,No,Yes,Yes,Yes
CUST00685,Female,Yes,Yes,No,Yes
CUST00686,Male,No,No,No,Yes
CUST00687,Female,No,No,Yes,Yes
CUST00688,Male,No,No,Yes,No
CUST00689,Female,Yes,No,No,Yes
CUST00690,Female,No,Yes,Yes,Yes
CUST00691,Male,No,No,No,Yes
CUST00692,Female,No,Yes,No,No
CUST00693,Male,No,No,No,No
CUST00694,Male,No,Yes,No,No
CUST00695,Male,Unknown,Yes,No,Yes
CUST00696,Male,No,Yes,No,No
CUST00697,Male,No,No,Yes,No
CUST00698,Male,No,No,Yes,Yes
CUST00699,Male,No,No,No,No
