Contract,PaperlessBilling,PaymentMethod,contract_id
Monthly,Yes,Electronic check,104
Two year,No,Electronic check,105
One Year,No,Bank transfer (automatic),106
Two year,Yes,Bank transfer (automatic),107
Two year,Yes,Electronic check,108
Two year,Yes,Unknown,109
Two year,Yes,Electronic check,110
Monthly,Yes,Credit card (automatic),111
Monthly,No,Credit card (automatic),112
Two year,No,Unknown,113
Monthly,No,Bank transfer (automatic),114
Two year,Yes,Electronic check,115
One Year,No,Mailed check,116
Two year,Yes,Electronic check,117
Monthly,No,Bank transfer (automatic),118
Monthly,No,Mailed check,119
Monthly,Yes,Electronic check,120
Monthly,Yes,Bank transfer (automatic),121
Monthly,Yes,Credit card (automatic),122
One Year,No,Electronic check,123
Monthly,No,Electronic check,124
Monthly,Yes,Bank transfer (automatic),125
Monthly,Yes,Electronic check,126
Monthly,No,Electronic check,127
Monthly,Yes,Bank transfer (automatic),128
Monthly,Yes,Credit card (automatic),129
Two year,Yes,Mailed check,130
Two year,Yes,Electronic check,131
One Year,Yes,Bank transfer (automatic),132
One Year,Yes,Electronic check,133
Monthly,No,Mailed check,134
Two year,Yes,Mailed check,135
Monthly,Yes,Bank transfer (automatic),136
Monthly,Yes,Bank transfer (automatic),137
Two year,Yes,Mailed check,138
Monthly,Yes,Electronic check,139
Monthly,Yes,Electronic check,140
One Year,Yes,Electronic check,141
Two year,Yes,Bank transfer (automatic),142
Monthly,No,Bank transfer (automatic),143
Two year,Yes,Mailed check,144
Two year,No,Bank transfer (automatic),145
Monthly,Yes,Mailed check,146
One Year,No,Electronic check,147
Monthly,No,Electronic check,148
Monthly,No,Mailed check,149
One Year,Yes,Mailed check,150
Monthly,Yes,Electronic check,151
One Year,No,Electronic check,152
Two year,Yes,Mailed check,153
Monthly,Yes,Bank transfer (automatic),154
Two year,Yes,Credit card (automatic),155
One Year,Yes,Bank transfer (automatic),156
One Year,Yes,Electronic check,157
Monthly,Yes,Mailed check,158
Monthly,Yes,Unknown,159
One Year,Yes,Credit card (automatic),160
One Year,Yes,Bank transfer (automatic),161
Monthly,Yes,Credit card (automatic),162
Monthly,Yes,Bank transfer (automatic),163
Two year,Yes,Electronic check,164
Monthly,Yes,Electronic check,165
Monthly,Yes,Electronic check,166
Monthly,No,Mailed check,167
Monthly,No,Bank transfer (automatic),168
One Year,Yes,Bank transfer (automatic),169
Monthly,No,Bank transfer (automatic),170
One Year,Yes,Unknown,171
Monthly,No,Bank transfer (automatic),172
Monthly,Yes,Credit card (automatic),173
Two year,Yes,Credit card (automatic),174
One Year,Yes,Electronic check,175
One Year,Yes,Credit card (automatic),176
Monthly,Yes,Electronic check,177
Monthly,No,Mailed check,178
Two year,Yes,Mailed check,179
Monthly,Yes,Electronic check,180
Monthly,Yes,Unknown,181
Two year,Yes,Bank transfer (automatic),182
One Year,No,Bank transfer (automatic),183
Two year,Yes,Mailed check,184
One Year,Yes,Electronic check,185
Monthly,Yes,Electronic check,186
Monthly,No,Bank transfer (automatic),187
Monthly,Yes,Credit card (automatic),188
Monthly,Yes,Electronic check,189
Monthly,Yes,Electronic check,190
Monthly,No,Bank transfer (automatic),191
Monthly,Yes,Bank transfer (automatic),192
Monthly,Yes,Mailed check,193
Monthly,Yes,Unknown,194
One Year,No,Bank transfer (automatic),195
Monthly,No,Credit card (automatic),196
Monthly,Yes,Bank transfer (automatic),197
Monthly,Yes,Mailed check,198
Two year,No,Electronic check,199
Monthly,No,Electronic check,200
Monthly,Yes,Bank transfer (automatic),201
Monthly,No,Electronic check,202
Two year,Yes,Electronic check,203
One Year,No,Mailed check,204
One Year,Yes,Electronic check,205
Monthly,No,Electronic check,206
One Year,Yes,Bank transfer (automatic),207
Monthly,Yes,Mailed check,208
Two year,Yes,Bank transfer (automatic),209
Monthly,No,Electronic check,210
Monthly,No,Electronic check,211
One Year,No,Bank transfer (automatic),212
Two year,No,Credit card (automatic),213
Monthly,Yes,Mailed check,214
Two year,Yes,Electronic check,215
One Year,Yes,Bank transfer (automatic),216
Monthly,Yes,Credit card (automatic),217
Monthly,Yes,Electronic check,218
Monthly,Yes,Credit card (automatic),219
Monthly,Yes,Mailed check,220
Monthly,Yes,Mailed check,221
Two year,Yes,Electronic check,222
Monthly,No,Bank transfer (automatic),223
Monthly,No,Electronic check,224
Monthly,Yes,Credit card (automatic),225
Monthly,Yes,Mailed check,226
Two year,Yes,Bank transfer (automatic),227
Two year,No,Credit card (automatic),228
One Year,Yes,Electronic check,229
Two year,Yes,Electronic check,230
Monthly,No,Credit card (automatic),231
One Year,No,Bank transfer (automatic),232
Two year,No,Credit card (automatic),233
Monthly,Yes,Electronic check,234
Monthly,Yes,Electronic check,235
Monthly,Yes,Electronic check,236
One Year,No,Credit card (automatic),237
Monthly,Yes,Electronic check,238
Monthly,Yes,Electronic check,239
One Year,Yes,Bank transfer (automatic),240
Monthly,Yes,Mailed check,241
Two year,Yes,Bank transfer (automatic),242
One Year,No,Credit card (automatic),243
Monthly,Yes,Mailed check,244
Two year,No,Electronic check,245
Monthly,Yes,Bank transfer (automatic),246
Monthly,Yes,Electronic check,247
Monthly,Yes,Electronic check,248
Monthly,Yes,Bank transfer (automatic),249
Monthly,No,Bank transfer (automatic),250
Monthly,Yes,Credit card (automatic),251
Monthly,No,Mailed check,252
Monthly,Yes,Bank transfer (automatic),253
Two year,No,Electronic check,254
Monthly,Yes,Credit card (automatic),255
Monthly,Yes,Electronic check,256
Monthly,Yes,Electronic check,257
One Year,No,Mailed check,258
Monthly,Yes,Bank transfer (automatic),259
Monthly,No,Electronic check,260
Two year,No,Electronic check,261
Monthly,No,Bank transfer (automatic),262
Monthly,No,Electronic check,263
Monthly,Yes,Bank transfer (automatic),264
Monthly,No,Credit card (automatic),265
Monthly,No,Bank transfer (automatic),266
Two year,Yes,Bank transfer (automatic),267
Monthly,Yes,Electronic check,268
One Year,Yes,Electronic check,269
Two year,No,Credit card (automatic),270
Monthly,Yes,Bank transfer (automatic),271
Monthly,No,Bank transfer (automatic),272
Two year,No,Electronic check,273
Two year,Yes,Credit card (automatic),274
Monthly,No,Unknown,275
Two year,No,Bank transfer (automatic),276
Monthly,Yes,Bank transfer (automatic),277
Two year,Yes,Mailed check,278
Monthly,Yes,Electronic check,279
One Year,No,Bank transfer (automatic),280
Monthly,Yes,Credit card (automatic),281
Two year,No,Bank transfer (automatic),282
Two year,Yes,Electronic check,283
Monthly,Yes,Electronic check,284
One Year,Yes,Bank transfer (automatic),285
One Year,Yes,Electronic check,286
Monthly,No,Electronic check,287
Two year,No,Electronic check,288
Monthly,No,Bank transfer (automatic),289
One Year,No,Credit card (automatic),290
One Year,Yes,Credit card (automatic),291
One Year,Yes,Electronic check,292
Two year,Yes,Mailed check,293
Monthly,Yes,Electronic check,294
Monthly,Yes,Unknown,295
Monthly,Yes,Credit card (automatic),296
Two year,No,Mailed check,297
Monthly,No,Credit card (automatic),298
Monthly,Yes,Bank transfer (automatic),299
Monthly,Yes,Electronic check,300
Two year,Yes,Electronic check,301
One Year,Yes,Bank transfer (automatic),302
Monthly,Yes,Bank transfer (automatic),303
Two year,No,Electronic check,304
Monthly,No,Bank transfer (automatic),305
One Year,No,Electronic check,306
One Year,Yes,Credit card (automatic),307
Monthly,No,Electronic check,308
Monthly,No,Credit card (automatic),309
Monthly,No,Credit card (automatic),310
Monthly,Yes,Electronic check,311
Monthly,No,Unknown,312
One Year,Yes,Credit card (automatic),313
Monthly,No,Credit card (automatic),314
Monthly,Yes,Mailed check,315
One Year,Yes,Mailed check,316
One Year,Yes,Credit card (automatic),317
Monthly,Yes,Unknown,318
Monthly,Yes,Electronic check,319
Monthly,Yes,Unknown,320
Two year,No,Electronic check,321
Monthly,Yes,Credit card (automatic),322
Monthly,Yes,Bank transfer (automatic),323
Monthly,No,Electronic check,324
Monthly,Yes,Bank transfer (automatic),325
One Year,No,Mailed check,326
One Year,Yes,Electronic check,327
Two year,Yes,Bank transfer (automatic),328
Monthly,No,Electronic check,329
One Year,Yes,Electronic check,330
One Year,Yes,Electronic check,331
One Year,No,Electronic check,332
Two year,Yes,Mailed check,333
Monthly,No,Electronic check,334
One Year,Yes,Electronic check,335
Monthly,No,Bank transfer (automatic),336
Monthly,Yes,Electronic check,337
One Year,Yes,Mailed check,338
One Year,Yes,Electronic check,339
Monthly,Yes,Electronic check,340
Monthly,Yes,Bank transfer (automatic),341
Monthly,No,Electronic check,342
Two year,Yes,Bank transfer (automatic),343
Monthly,No,Electronic check,344
Two year,Yes,Mailed check,345
One Year,Yes,Electronic check,346
Monthly,No,Bank transfer (automatic),347
Monthly,No,Bank transfer (automatic),348
Two year,Yes,Credit card (automatic),349
Monthly,Yes,Electronic check,350
One Year,No,Electronic check,351
Monthly,Yes,Electronic check,352
Monthly,Yes,Mailed check,353
Monthly,Yes,Electronic check,354
Monthly,No,Credit card (automatic),355
Monthly,No,Electronic check,356
Monthly,Yes,Electronic check,357
Monthly,No,Electronic check,358
Monthly,Yes,Mailed check,359
Monthly,Yes,Bank transfer (automatic),360
Monthly,No,Bank transfer (automatic),361
Monthly,No,Unknown,362
Monthly,Yes,Electronic check,363
Monthly,No,Bank transfer (automatic),364
Monthly,Yes,Bank transfer (automatic),365
Two year,No,Electronic check,366
Monthly,Yes,Electronic check,367
One Year,Yes,Credit card (automatic),368
Monthly,No,Bank transfer (automatic),369
Monthly,Yes,Electronic check,370
One Year,No,Unknown,371
One Year,Yes,Electronic check,372
One Year,Yes,Electronic check,373
One Year,No,Bank transfer (automatic),374
Monthly,No,Bank transfer (automatic),375
One Year,No,Mailed check,376
Two year,No,Electronic check,377
Two year,Yes,Electronic check,378
Monthly,No,Mailed check,379
Monthly,Yes,Mailed check,380
Monthly,Yes,Electronic check,381
Monthly,Yes,Bank transfer (automatic),382
Monthly,Yes,Bank transfer (automatic),383
Monthly,Yes,Bank transfer (automatic),384
Monthly,No,Electronic check,385
One Year,No,Mailed check,386
Two year,No,Electronic check,387
Two year,Yes,Mailed check,388
Monthly,No,Bank transfer (automatic),389
Two year,Yes,Electronic check,390
Monthly,No,Mailed check,391
Two year,Yes,Mailed check,392
Two year,Yes,Credit card (automatic),393
Monthly,Yes,Electronic check,394
Monthly,No,Electronic check,395
One Year,Yes,Electronic check,396
Monthly,Yes,Credit card (automatic),397
Two year,No,Mailed check,398
Monthly,Yes,Bank transfer (automatic),399
Monthly,No,Electronic check,400
Two year,Yes,Electronic check,401
Monthly,No,Mailed check,402
Monthly,No,Electronic check,403
One Year,Yes,Mailed check,404
Monthly,No,Unknown,405
Two year,Yes,Mailed check,406
Two year,Yes,Bank transfer (automatic),407
Monthly,Yes,Electronic check,408
Monthly,No,Credit card (automatic),409
Monthly,Yes,Mailed check,410
One Year,No,Credit card (automatic),411
Monthly,No,Electronic check,412
Two year,Yes,Electronic check,413
One Year,Yes,Electronic check,414
Monthly,Yes,Mailed check,415
One Year,No,Bank transfer (automatic),416
Monthly,No,Credit card (automatic),417
Two year,Yes,Mailed check,418
Two year,No,Credit card (automatic),419
Two year,No,Electronic check,420
One Year,Yes,Bank transfer (automatic),421
Monthly,Yes,Electronic check,422
One Year,Yes,Electronic check,423
Monthly,No,Electronic check,424
One Year,Yes,Mailed check,425
Monthly,Yes,Electronic check,426
Monthly,Yes,Unknown,427
Monthly,No,Electronic check,428
Monthly,Yes,Electronic check,429
Monthly,Yes,Bank transfer (automatic),430
One Year,Yes,Electronic check,431
Two year,Yes,Bank transfer (automatic),432
One Year,No,Credit card (automatic),433
Monthly,No,Electronic check,434
Monthly,Yes,Bank transfer (automatic),435
One Year,Yes,Credit card (automatic),436
Monthly,Yes,Mailed check,437
Monthly,Yes,Bank transfer (automatic),438
Monthly,No,Electronic check,439
One Year,No,Bank transfer (automatic),440
Monthly,Yes,Credit card (automatic),441
Monthly,Yes,Electronic check,442
One Year,Yes,Electronic check,443
Monthly,Yes,Credit card (automatic),444
Monthly,Yes,Bank transfer (automatic),445
Monthly,Yes,Electronic check,446
Monthly,No,Bank transfer (automatic),447
Two year,No,Electronic check,448
Monthly,No,Unknown,449
Monthly,Yes,Credit card (automatic),450
One Year,Yes,Electronic check,451
Monthly,Yes,Credit card (automatic),452
Monthly,Yes,Electronic check,453
Monthly,Yes,Electronic check,454
Two year,No,Credit card (automatic),455
Two year,Yes,Bank transfer (automatic),456
One Year,No,Electronic check,457
One Year,Yes,Electronic check,458
One Year,No,Electronic check,459
One Year,No,Electronic check,460
Two year,Yes,Bank transfer (automatic),461
One Year,Yes,Mailed check,462
One Year,No,Electronic check,463
One Year,No,Electronic check,464
Two year,Yes,Electronic check,465
Monthly,Yes,Electronic check,466
One Year,Yes,Credit card (automatic),467
Two year,Yes,Unknown,468
Monthly,Yes,Electronic check,469
Monthly,Yes,Mailed check,470
Monthly,Yes,Electronic check,471
Monthly,Yes,Bank transfer (automatic),472
Monthly,Yes,Electronic check,473
Monthly,Yes,Unknown,474
Two year,Yes,Mailed check,475
Monthly,Yes,Mailed check,476
Monthly,Yes,Credit card (automatic),477
Monthly,No,Bank transfer (automatic),478
Two year,Yes,Electronic check,479
Two year,Yes,Unknown,480
One Year,No,Electronic check,481
Monthly,No,Electronic check,482
One Year,Yes,Bank transfer (automatic),483
Two year,No,Electronic check,484
Monthly,Yes,Credit card (automatic),485
Monthly,No,Bank transfer (automatic),486
Monthly,Yes,Electronic check,487
One Year,Yes,Electronic check,488
Monthly,Yes,Electronic check,489
Two year,Yes,Credit card (automatic),490
Two year,Yes,Bank transfer (automatic),491
Two year,Yes,Bank transfer (automatic),492
Monthly,Yes,Electronic check,493
One Year,Yes,Bank transfer (automatic),494
One Year,Yes,Electronic check,495
Monthly,No,Mailed check,496
Monthly,No,Unknown,497
Monthly,Yes,Mailed check,498
Monthly,Yes,Electronic check,499
One Year,Yes,Mailed check,500
Two year,No,Bank transfer (automatic),501
Two year,No,Mailed check,502
Monthly,Yes,Electronic check,503
Two year,No,Mailed check,504
Monthly,Yes,Electronic check,505
One Year,No,Bank transfer (automatic),506
Monthly,Yes,Electronic check,507
Monthly,Yes,Bank transfer (automatic),508
Two year,No,Mailed check,509
Monthly,Yes,Electronic check,510
Two year,No,Electronic check,511
Monthly,Yes,Mailed check,512
Monthly,Yes,Mailed check,513
Two year,Yes,Mailed check,514
One Year,Yes,Bank transfer (automatic),515
Monthly,No,Bank transfer (automatic),516
Two year,Yes,Electronic check,517
Two year,Yes,Credit card (automatic),518
Monthly,No,Bank transfer (automatic),519
One Year,Yes,Mailed check,520
One Year,Yes,Unknown,521
Two year,No,Bank transfer (automatic),522
Monthly,No,Electronic check,523
Monthly,No,Bank transfer (automatic),524
One Year,No,Mailed check,525
Monthly,No,Credit card (automatic),526
Monthly,Yes,Credit card (automatic),527
Monthly,Yes,Credit card (automatic),528
Monthly,Yes,Electronic check,529
Two year,Yes,Electronic check,530
Monthly,No,Electronic check,531
One Year,Yes,Mailed check,532
Monthly,Yes,Credit card (automatic),533
One Year,Yes,Bank transfer (automatic),534
One Year,Yes,Bank transfer (automatic),535
Monthly,No,Bank transfer (automatic),536
Two year,Yes,Mailed check,537
Two year,Yes,Mailed check,538
Two year,Yes,Unknown,539
Monthly,No,Electronic check,540
Two year,Yes,Bank transfer (automatic),541
Monthly,No,Electronic check,542
Monthly,Yes,Mailed check,543
One Year,Yes,Electronic check,544
One Year,Yes,Electronic check,545
One Year,No,Credit card (automatic),546
Monthly,No,Electronic check,547
Monthly,No,Electronic check,548
Monthly,Yes,Bank transfer (automatic),549
Monthly,Yes,Mailed check,550
Monthly,Yes,Electronic check,551
Monthly,Yes,Mailed check,552
Monthly,Yes,Electronic check,553
One Year,No,Bank transfer (automatic),554
Monthly,No,Bank transfer (automatic),555
Monthly,No,Electronic check,556
One Year,Yes,Electronic check,557
Monthly,Yes,Credit card (automatic),558
Two year,No,Credit card (automatic),559
Monthly,Yes,Bank transfer (automatic),560
Monthly,Yes,Credit card (automatic),561
Monthly,Yes,Bank transfer (automatic),562
Monthly,No,Mailed check,563
Monthly,Yes,Mailed check,564
Monthly,No,Electronic check,565
Two year,Yes,Credit card (automatic),566
Monthly,Yes,Credit card (automatic),567
Monthly,Yes,Bank transfer (automatic),568
Two year,Yes,Unknown,569
Monthly,Yes,Bank transfer (automatic),570
Two year,Yes,Electronic check,571
Monthly,No,Bank transfer (automatic),572
Two year,Yes,Bank transfer (automatic),573
Monthly,No,Electronic check,574
Monthly,No,Electronic check,575
Monthly,Yes,Electronic check,576
Two year,Yes,Mailed check,577
Monthly,No,Credit card (automatic),578
Two year,Yes,Electronic check,579
Two year,Yes,Bank transfer (automatic),580
One Year,Yes,Electronic check,581
One Year,Yes,Mailed check,582
One Year,Yes,Electronic check,583
Monthly,Yes,Credit card (automatic),584
Two year,No,Bank transfer (automatic),585
Two year,Yes,Electronic check,586
Monthly,Yes,Credit card (automatic),587
Two year,No,Bank transfer (automatic),588
One Year,Yes,Credit card (automatic),589
Monthly,Yes,Mailed check,590
Monthly,Yes,Credit card (automatic),591
Two year,Yes,Electronic check,592
One Year,Yes,Electronic check,593
One Year,No,Mailed check,594
One Year,Yes,Bank transfer (automatic),595
Monthly,No,Bank transfer (automatic),596
Monthly,No,Mailed check,597
One Year,No,Electronic check,598
Monthly,No,Electronic check,599
Monthly,No,Electronic check,600
Monthly,No,Bank transfer (automatic),601
Monthly,No,Electronic check,602
Monthly,No,Electronic check,603
Monthly,Yes,Electronic check,604
Monthly,No,Electronic check,605
Two year,Yes,Electronic check,606
Monthly,No,Bank transfer (automatic),607
Two year,No,Bank transfer (automatic),608
Monthly,Yes,Credit card (automatic),609
Monthly,Yes,Mailed check,610
One Year,Yes,Electronic check,611
Monthly,Yes,Bank transfer (automatic),612
One Year,Yes,Electronic check,613
Monthly,No,Mailed check,614
Two year,No,Mailed check,615
Two year,Yes,Electronic check,616
Monthly,No,Electronic check,617
One Year,Yes,Mailed check,618
Two year,No,Mailed check,619
Monthly,No,Bank transfer (automatic),620
Two year,Yes,Electronic check,621
One Year,No,Electronic check,622
Monthly,No,Electronic check,623
Two year,Yes,Mailed check,624
One Year,No,Bank transfer (automatic),625
Monthly,No,Electronic check,626
Monthly,Yes,Unknown,627
Monthly,Yes,Electronic check,628
Monthly,Yes,Electronic check,629
Monthly,Yes,Bank transfer (automatic),630
Monthly,Yes,Mailed check,631
Monthly,Yes,Electronic check,632
Monthly,Yes,Electronic check,633
Monthly,No,Electronic check,634
Two year,Yes,Unknown,635
Monthly,No,Mailed check,636
One Year,No,Bank transfer (automatic),637
Two year,No,Bank transfer (automatic),638
Monthly,Yes,Mailed check,639
Monthly,No,Electronic check,640
One Year,No,Electronic check,641
Monthly,No,Mailed check,642
One Year,No,Electronic check,643
Two year,No,Electronic check,644
One Year,No,Mailed check,645
Two year,Yes,Mailed check,646
Monthly,Yes,Unknown,647
Monthly,Yes,Mailed check,648
Monthly,No,Credit card (automatic),649
One Year,No,Mailed check,650
Monthly,No,Electronic check,651
One Year,Yes,Bank transfer (automatic),652
Two year,No,Bank transfer (automatic),653
Monthly,Yes,Credit card (automatic),654
Monthly,Yes,Credit card (automatic),655
One Year,No,Credit card (automatic),656
Monthly,Yes,Electronic check,657
Two year,Yes,Credit card (automatic),658
Monthly,Yes,Electronic check,659
Monthly,Yes,Bank transfer (automatic),660
Monthly,No,Mailed check,661
Monthly,No,Mailed check,662
One Year,Yes,Electronic check,663
Two year,Yes,Mailed check,664
Monthly,Yes,Credit card (automatic),665
Monthly,Yes,Bank transfer (automatic),666
One Year,No,Mailed check,667
One Year,No,Credit card (automatic),668
One Year,Yes,Bank transfer (automatic),669
Monthly,No,Credit card (automatic),670
One Year,Yes,Electronic check,671
Monthly,Yes,Mailed check,672
Monthly,Yes,Bank transfer (automatic),673
One Year,No,Electronic check,674
Monthly,No,Electronic check,675
Two year,No,Electronic check,676
Two year,No,Unknown,677
Monthly,Yes,Credit card (automatic),678
Monthly,Yes,Mailed check,679
Monthly,Yes,Bank transfer (automatic),680
Two year,No,Credit card (automatic),681
Monthly,Yes,Electronic check,682
Monthly,Yes,Electronic check,683
Monthly,No,Electronic check,684
Monthly,No,Unknown,685
Two year,No,Electronic check,686
Monthly,No,Mailed check,687
Two year,Yes,Mailed check,688
Monthly,Yes,Unknown,689
One Year,No,Electronic check,690
One Year,Yes,Mailed check,691
One Year,Yes,Unknown,692
Monthly,No,Electronic check,693
Monthly,Yes,Electronic check,694
Monthly,Yes,Credit card (automatic),695
Two year,Yes,Electronic check,696
Monthly,No,Electronic check,697
One Year,Yes,Electronic check,698
Monthly,Yes,Credit card (automatic),699
One Year,Yes,Bank transfer (automatic),700
One Year,Yes,Bank transfer (automatic),701
Monthly,No,Unknown,702
One Year,No,Electronic check,703
Two year,Yes,Electronic check,704
Monthly,No,Electronic check,705
Monthly,Yes,Mailed check,706
Monthly,No,Mailed check,707
Monthly,No,Mailed check,708
Monthly,No,Mailed check,709
Monthly,Yes,Electronic check,710
Monthly,No,Unknown,711
Monthly,No,Electronic check,712
Monthly,Yes,Mailed check,713
One Year,No,Mailed check,714
Two year,Yes,Electronic check,715
Monthly,No,Electronic check,716
Monthly,No,Electronic check,717
Monthly,Yes,Bank transfer (automatic),718
Two year,No,Electronic check,719
One Year,No,Mailed check,720
Monthly,No,Mailed check,721
Monthly,No,Electronic check,722
Monthly,No,Bank transfer (automatic),723
One Year,Yes,Credit card (automatic),724
Monthly,No,Bank transfer (automatic),725
Two year,Yes,Unknown,726
Two year,No,Electronic check,727
Monthly,Yes,Bank transfer (automatic),728
Two year,Yes,Bank transfer (automatic),729
Monthly,Yes,Credit card (automatic),730
Two year,Yes,Credit card (automatic),731
Monthly,No,Credit card (automatic),732
Two year,Yes,Credit card (automatic),733
One Year,Yes,Electronic check,734
One Year,No,Bank transfer (automatic),735
Monthly,No,Bank transfer (automatic),736
Monthly,Yes,Electronic check,737
Two year,Yes,BANK TRANSFER,738
Two year,Yes,Credit card (automatic),739
Monthly,Yes,Mailed check,740
Monthly,No,Bank transfer (automatic),741
One Year,Yes,Mailed check,742
Two year,Yes,Credit card (automatic),743
One Year,No,Electronic check,744
Monthly,No,Bank transfer (automatic),745
Monthly,No,Bank transfer (automatic),746
Monthly,Yes,Electronic check,747
Monthly,Yes,Bank transfer (automatic),748
One Year,Yes,Electronic check,749
Monthly,No,Electronic check,750
One Year,No,Unknown,751
Monthly,No,Mailed check,752
Monthly,No,Bank transfer (automatic),753
One Year,Yes,Electronic check,754
Two year,No,Mailed check,755
One Year,No,Electronic check,756
Two year,Yes,Credit card (automatic),757
Monthly,No,Mailed check,758
Monthly,Yes,Electronic check,759
Two year,No,Bank transfer (automatic),760
One Year,Yes,Mailed check,761
Monthly,Yes,Mailed check,762
Monthly,No,Credit card (automatic),763
Monthly,Yes,Electronic check,764
Monthly,Yes,Bank transfer (automatic),765
Monthly,Yes,Mailed check,766
Monthly,Yes,Mailed check,767
Monthly,Yes,Unknown,768
One Year,No,Bank transfer (automatic),769
Two year,Yes,Bank transfer (automatic),770
Monthly,Yes,Electronic check,771
Two year,Yes,Mailed check,772
Monthly,Yes,Credit card (automatic),773
One Year,Yes,Bank transfer (automatic),774
Monthly,Yes,Bank transfer (automatic),775
Two year,Yes,Electronic check,776
Monthly,Yes,Mailed check,777
Two year,No,Credit card (automatic),778
Two year,Yes,Electronic check,779
Monthly,No,Unknown,780
Monthly,Yes,Credit card (automatic),781
Two year,Yes,Bank transfer (automatic),782
Two year,Yes,Electronic check,783
Monthly,No,Electronic check,784
Monthly,Yes,Electronic check,785
Monthly,Yes,Unknown,786
Monthly,No,Bank transfer (automatic),787
One Year,Yes,Electronic check,788
One Year,Yes,Mailed check,789
Monthly,Yes,Bank transfer (automatic),790
One Year,No,Electronic check,791
Two year,Yes,Credit card (automatic),792
Monthly,No,Electronic check,793
Monthly,Yes,Credit card (automatic),794
Monthly,No,Mailed check,795
Monthly,Yes,Electronic check,796
Monthly,Yes,Credit card (automatic),797
Monthly,No,Credit card (automatic),798
Monthly,Yes,Mailed check,799
Monthly,Yes,Electronic check,800
Two year,Yes,Mailed check,801
Monthly,No,Mailed check,802
One Year,Yes,Bank transfer (automatic),803
Monthly,No,Electronic check,804
One Year,No,Electronic check,805
Monthly,No,Electronic check,806
